feature,importance_mean,importance_std,importance_min,importance_max
utilization_trend,0.00030751415183384313,0.000332004847854793,-0.00028786048645501605,0.0009563240596707212
limit_bal,0.00031675854307199324,0.00032708480785654745,-0.00032863138803873593,0.0010508587875183162
bill_amt_std,0.0003380251232386315,0.00125337772521288,-0.0030313837375177677,0.0025009139850465933
util_spike_x_pay,0.0003674832197124648,0.00012343105904623661,9.43107119046882e-05,0.0005849056265636587
edu_payment_interaction,0.0003942680592692538,0.00012217746823169274,0.00016263557444851084,0.0007060982516003955
pay_status_x_util,0.00040297481224477926,0.0003078983088510091,-0.0002965971082230512,0.0010362977512383686
age_x_debt,0.0004032436313761045,0.00014408027817928412,0.00013799382074419775,0.0006866088645794965
bill_stability,0.0004314397713723254,0.00015589865816499114,0.00010035914235950738,0.0006671194775589306
pay_ratio_1,0.000502161604503748,0.00032832838899823024,-0.0003958361708685798,0.001224919175047856
debt_to_limit,0.0005342332203098321,0.00021846020036976648,0.00021079900214338032,0.0009153291421445386
pay_amt2,0.0005724727417400933,0.0005518061503327174,-0.0008535007419407936,0.0016160510111182802
severe_delay_count,0.0005802460949540918,0.0004076317164426462,-9.431071190479923e-05,0.0015728159341643622
util_rate_std,0.0006060751331551003,0.00023227195228237832,2.7777976903009538e-05,0.0010038154395372034
util_spike,0.0006110706886787869,0.00010953867116563789,0.00041398146223270427,0.0008203463824113522
payment_ratio_x_util,0.0006914252073491797,0.00017252400133141018,0.00034095226489072594,0.0010909576412734268
age_limit,0.0006947481105001837,0.0005013604731919573,-0.00029502899662359194,0.0022791382017075534
util_rate_3,0.0008181883621626973,0.0003692177031071403,4.054688564070208e-05,0.0014979946092803509
bill_recent_vs_avg,0.0009255816051250143,0.0005444057566840562,-0.00041577358977484824,0.002310500433694851
pay_amt3,0.0009725726827193674,0.0008105995303203468,-0.0011550262009045742,0.0021572735288425404
util_rate_max,0.0009940035412440372,0.0005875304113108736,-0.00017428440347233565,0.0022782421379364814
limit_per_age,0.0010302866567741338,0.0006313259811839071,-0.0004926110581437992,0.0025376525996603227
util_rate_1,0.0012481570955108748,0.0005646155787475235,0.00010954379601291198,0.0024160119427379945
education,0.0012484781850288192,0.0006176423316672675,0.00030018136330733913,0.0026303951999656627
pay_ratio_3,0.0014133837876974347,0.0005579692495393776,3.2706327643960975e-05,0.002395178460060654
pay_ratio_min,0.001546008693013338,0.0008857602866378599,-0.00018682929626734346,0.003214852794643619
util_rate_2,0.002100410815370261,0.0007879815860968482,0.0003219109097555295,0.0035325074014866953
pay_status_max,0.004453593753360252,0.001609970335541442,0.0020239840428962763,0.00794158918701926
severe_x_recent,0.005448694972723819,0.0024071253201189105,-0.0003548412533422862,0.010825794450139425
pay_0,0.007359200006212715,0.0012618965061865987,0.004794165191148281,0.010213558878558349
